"","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","name"
"1397","Golden State Warriors","2/1/17",2016,1,9,57,"shot_yes","Jump Shot","3PT Field Goal",27,"Charlotte Hornets",-192,193,"Kevin Durant"
"1398","Golden State Warriors","2/1/17",2016,1,3,44,"shot_no","Jump Shot","3PT Field Goal",24,"Charlotte Hornets",236,61,"Kevin Durant"
"1399","Golden State Warriors","2/1/17",2016,1,3,0,"shot_no","Jump Shot","3PT Field Goal",25,"Charlotte Hornets",-12,257,"Kevin Durant"
"1400","Golden State Warriors","2/1/17",2016,2,0,50,"shot_no","Jump Shot","3PT Field Goal",26,"Charlotte Hornets",114,234,"Kevin Durant"
"1401","Golden State Warriors","2/1/17",2016,3,8,45,"shot_no","Jump Shot","3PT Field Goal",25,"Charlotte Hornets",-135,214,"Kevin Durant"
"1402","Golden State Warriors","2/1/17",2016,3,6,1,"shot_no","Jump Shot","2PT Field Goal",3,"Charlotte Hornets",1,36,"Kevin Durant"
"1403","Golden State Warriors","12/13/16",2016,4,0,16,"shot_no","Jump Shot","2PT Field Goal",19,"New Orleans Pelicans",51,188,"Kevin Durant"
"1404","Golden State Warriors","1/18/17",2016,4,4,34,"shot_yes","Jump Shot","3PT Field Goal",25,"Oklahoma City Thunder",140,219,"Kevin Durant"
"1405","Golden State Warriors","1/18/17",2016,1,1,47,"shot_yes","Jump Shot","2PT Field Goal",18,"Oklahoma City Thunder",184,36,"Kevin Durant"
"1406","Golden State Warriors","1/18/17",2016,2,5,6,"shot_yes","Jump Shot","2PT Field Goal",13,"Oklahoma City Thunder",-66,115,"Kevin Durant"
"1407","Golden State Warriors","1/18/17",2016,4,6,11,"shot_yes","Jump Shot","2PT Field Goal",19,"Oklahoma City Thunder",84,174,"Kevin Durant"
"1408","Golden State Warriors","1/18/17",2016,3,7,43,"shot_yes","Jump Shot","3PT Field Goal",24,"Oklahoma City Thunder",89,232,"Kevin Durant"
"1409","Golden State Warriors","1/18/17",2016,1,0,0,"shot_no","Jump Shot","3PT Field Goal",46,"Oklahoma City Thunder",6,462,"Kevin Durant"
"1410","Golden State Warriors","1/18/17",2016,3,2,47,"shot_no","Jump Shot","3PT Field Goal",25,"Oklahoma City Thunder",-70,249,"Kevin Durant"
"1411","Golden State Warriors","1/18/17",2016,1,1,25,"shot_yes","Jump Shot","2PT Field Goal",6,"Oklahoma City Thunder",59,34,"Kevin Durant"
"1412","Golden State Warriors","12/23/16",2016,2,7,56,"shot_no","Jump Shot","3PT Field Goal",26,"Detroit Pistons",-133,228,"Kevin Durant"
"1413","Golden State Warriors","11/21/16",2016,2,0,38,"shot_no","Jump Shot","2PT Field Goal",16,"Indiana Pacers",-161,-16,"Kevin Durant"
"1414","Golden State Warriors","12/23/16",2016,3,6,2,"shot_yes","Jump Shot","2PT Field Goal",17,"Detroit Pistons",168,61,"Kevin Durant"
"1415","Golden State Warriors","12/23/16",2016,1,9,39,"shot_yes","Jump Shot","3PT Field Goal",25,"Detroit Pistons",-214,139,"Kevin Durant"
"1416","Golden State Warriors","12/23/16",2016,1,7,1,"shot_yes","Jump Shot","3PT Field Goal",24,"Detroit Pistons",51,244,"Kevin Durant"
"1417","Golden State Warriors","12/23/16",2016,3,5,46,"shot_yes","Jump Shot","2PT Field Goal",15,"Detroit Pistons",1,154,"Kevin Durant"
"1418","Golden State Warriors","12/23/16",2016,4,8,20,"shot_yes","Jump Shot","2PT Field Goal",10,"Detroit Pistons",-61,80,"Kevin Durant"
"1419","Golden State Warriors","12/23/16",2016,3,11,29,"shot_no","Jump Shot","2PT Field Goal",17,"Detroit Pistons",114,139,"Kevin Durant"
"1420","Golden State Warriors","12/23/16",2016,1,11,36,"shot_no","Jump Shot","2PT Field Goal",17,"Detroit Pistons",74,164,"Kevin Durant"
"1421","Golden State Warriors","12/23/16",2016,4,1,56,"shot_yes","Jump Shot","3PT Field Goal",25,"Detroit Pistons",25,257,"Kevin Durant"
"1422","Golden State Warriors","12/23/16",2016,1,0,1,"shot_no","Jump Shot","2PT Field Goal",15,"Detroit Pistons",78,134,"Kevin Durant"
"1423","Golden State Warriors","11/9/16",2016,2,0,31,"shot_yes","Jump Shot","3PT Field Goal",24,"Dallas Mavericks",-235,75,"Kevin Durant"
"1424","Golden State Warriors","11/9/16",2016,3,9,25,"shot_yes","Jump Shot","2PT Field Goal",11,"Dallas Mavericks",9,116,"Kevin Durant"
"1425","Golden State Warriors","11/9/16",2016,3,0,0,"shot_no","Jump Shot","3PT Field Goal",58,"Dallas Mavericks",115,572,"Kevin Durant"
"1426","Golden State Warriors","12/25/16",2016,4,0,0,"shot_no","Jump Shot","3PT Field Goal",33,"Cleveland Cavaliers",-214,259,"Kevin Durant"
"1427","Golden State Warriors","12/13/16",2016,4,11,22,"shot_no","Jump Shot","2PT Field Goal",9,"New Orleans Pelicans",-66,65,"Kevin Durant"
"1428","Golden State Warriors","12/13/16",2016,2,10,38,"shot_no","Jump Shot","2PT Field Goal",17,"New Orleans Pelicans",114,136,"Kevin Durant"
"1429","Golden State Warriors","12/13/16",2016,4,6,49,"shot_no","Jump Shot","3PT Field Goal",29,"New Orleans Pelicans",-7,296,"Kevin Durant"
"1430","Golden State Warriors","12/13/16",2016,3,8,14,"shot_no","Jump Shot","3PT Field Goal",25,"New Orleans Pelicans",87,239,"Kevin Durant"
"1431","Golden State Warriors","12/13/16",2016,1,2,45,"shot_no","Jump Shot","2PT Field Goal",10,"New Orleans Pelicans",-92,51,"Kevin Durant"
"1432","Golden State Warriors","12/13/16",2016,4,1,5,"shot_no","Jump Shot","2PT Field Goal",13,"New Orleans Pelicans",135,36,"Kevin Durant"
"1433","Golden State Warriors","12/13/16",2016,2,1,50,"shot_yes","Jump Shot","2PT Field Goal",18,"New Orleans Pelicans",-89,159,"Kevin Durant"
"1434","Golden State Warriors","12/13/16",2016,3,11,15,"shot_yes","Jump Shot","2PT Field Goal",11,"New Orleans Pelicans",64,92,"Kevin Durant"
"1435","Golden State Warriors","12/13/16",2016,3,7,3,"shot_yes","Jump Shot","3PT Field Goal",25,"New Orleans Pelicans",-187,178,"Kevin Durant"
"1436","Golden State Warriors","12/25/16",2016,1,6,44,"shot_no","Jump Shot","3PT Field Goal",24,"Cleveland Cavaliers",-243,41,"Kevin Durant"
"1437","Golden State Warriors","12/25/16",2016,3,11,33,"shot_yes","Jump Shot","3PT Field Goal",27,"Cleveland Cavaliers",-214,169,"Kevin Durant"
"1438","Golden State Warriors","12/7/16",2016,2,3,2,"shot_no","Jump Shot","3PT Field Goal",25,"Los Angeles Clippers",76,247,"Kevin Durant"
"1439","Golden State Warriors","2/2/17",2016,1,9,28,"shot_no","Jump Shot","3PT Field Goal",25,"Los Angeles Clippers",20,252,"Kevin Durant"
"1440","Golden State Warriors","2/2/17",2016,3,5,43,"shot_no","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",-137,228,"Kevin Durant"
"1441","Golden State Warriors","2/2/17",2016,1,3,7,"shot_no","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",176,198,"Kevin Durant"
"1442","Golden State Warriors","12/25/16",2016,4,5,20,"shot_no","Jump Shot","3PT Field Goal",26,"Cleveland Cavaliers",-227,146,"Kevin Durant"
"1443","Golden State Warriors","2/2/17",2016,2,1,57,"shot_yes","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",122,232,"Kevin Durant"
"1444","Golden State Warriors","2/2/17",2016,4,7,12,"shot_no","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",114,239,"Kevin Durant"
"1445","Golden State Warriors","2/2/17",2016,4,8,6,"shot_no","Jump Shot","2PT Field Goal",10,"Los Angeles Clippers",102,11,"Kevin Durant"
"1446","Golden State Warriors","2/2/17",2016,4,1,35,"shot_yes","Jump Shot","3PT Field Goal",25,"Los Angeles Clippers",-81,242,"Kevin Durant"
"1447","Golden State Warriors","11/21/16",2016,3,1,44,"shot_no","Jump Shot","3PT Field Goal",27,"Indiana Pacers",0,272,"Kevin Durant"
"1448","Golden State Warriors","11/21/16",2016,3,11,2,"shot_no","Jump Shot","3PT Field Goal",28,"Indiana Pacers",233,164,"Kevin Durant"
"1449","Golden State Warriors","11/21/16",2016,2,1,34,"shot_yes","Jump Shot","3PT Field Goal",26,"Indiana Pacers",159,208,"Kevin Durant"
"1450","Golden State Warriors","12/7/16",2016,1,10,46,"shot_no","Jump Shot","3PT Field Goal",28,"Los Angeles Clippers",-189,210,"Kevin Durant"
"1451","Golden State Warriors","12/7/16",2016,1,10,23,"shot_no","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",12,262,"Kevin Durant"
"1452","Golden State Warriors","12/7/16",2016,2,11,22,"shot_no","Jump Shot","2PT Field Goal",6,"Los Angeles Clippers",-14,65,"Kevin Durant"
"1453","Golden State Warriors","12/7/16",2016,3,11,2,"shot_no","Jump Shot","2PT Field Goal",18,"Los Angeles Clippers",-120,146,"Kevin Durant"
"1454","Golden State Warriors","12/7/16",2016,3,6,26,"shot_yes","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",-7,262,"Kevin Durant"
"1455","Golden State Warriors","11/25/16",2016,2,8,8,"shot_no","Jump Shot","3PT Field Goal",24,"Los Angeles Lakers",147,202,"Kevin Durant"
"1456","Golden State Warriors","12/25/16",2016,3,11,4,"shot_no","Jump Shot","3PT Field Goal",26,"Cleveland Cavaliers",148,214,"Kevin Durant"
"1457","Golden State Warriors","12/25/16",2016,1,8,10,"shot_no","Jump Shot","3PT Field Goal",27,"Cleveland Cavaliers",146,229,"Kevin Durant"
"1458","Golden State Warriors","11/25/16",2016,2,2,21,"shot_yes","Jump Shot","2PT Field Goal",21,"Los Angeles Lakers",-178,124,"Kevin Durant"
"1459","Golden State Warriors","11/25/16",2016,1,11,9,"shot_no","Jump Shot","3PT Field Goal",24,"Los Angeles Lakers",63,241,"Kevin Durant"
"1460","Golden State Warriors","11/25/16",2016,2,11,7,"shot_yes","Jump Shot","3PT Field Goal",22,"Los Angeles Lakers",228,26,"Kevin Durant"
"1461","Golden State Warriors","11/25/16",2016,4,9,49,"shot_no","Jump Shot","3PT Field Goal",25,"Los Angeles Lakers",52,246,"Kevin Durant"
"1462","Golden State Warriors","11/25/16",2016,4,10,40,"shot_yes","Jump Shot","3PT Field Goal",24,"Los Angeles Lakers",-83,232,"Kevin Durant"
"1463","Golden State Warriors","11/25/16",2016,4,8,36,"shot_no","Jump Shot","2PT Field Goal",17,"Los Angeles Lakers",112,130,"Kevin Durant"
"1464","Golden State Warriors","12/25/16",2016,3,6,7,"shot_no","Jump Shot","3PT Field Goal",25,"Cleveland Cavaliers",50,252,"Kevin Durant"
"1465","Golden State Warriors","12/25/16",2016,2,0,29,"shot_yes","Jump Shot","3PT Field Goal",24,"Cleveland Cavaliers",166,183,"Kevin Durant"
"1466","Golden State Warriors","12/25/16",2016,4,1,55,"shot_no","Jump Shot","2PT Field Goal",20,"Cleveland Cavaliers",-114,165,"Kevin Durant"
"1467","Golden State Warriors","12/25/16",2016,4,11,44,"shot_no","Jump Shot","2PT Field Goal",17,"Cleveland Cavaliers",173,7,"Kevin Durant"
"1468","Golden State Warriors","12/8/16",2016,4,0,23,"shot_no","Jump Shot","2PT Field Goal",13,"Utah Jazz",-73,115,"Kevin Durant"
"1469","Golden State Warriors","12/8/16",2016,3,8,14,"shot_yes","Jump Shot","3PT Field Goal",24,"Utah Jazz",148,200,"Kevin Durant"
"1470","Golden State Warriors","1/8/17",2016,3,8,2,"shot_yes","Jump Shot","3PT Field Goal",24,"Sacramento Kings",-189,159,"Kevin Durant"
"1471","Golden State Warriors","1/8/17",2016,4,0,47,"shot_yes","Jump Shot","3PT Field Goal",24,"Sacramento Kings",-84,228,"Kevin Durant"
"1472","Golden State Warriors","1/8/17",2016,1,7,0,"shot_no","Jump Shot","3PT Field Goal",24,"Sacramento Kings",236,52,"Kevin Durant"
"1473","Golden State Warriors","1/8/17",2016,1,0,33,"shot_no","Jump Shot","2PT Field Goal",7,"Sacramento Kings",-1,72,"Kevin Durant"
"1474","Golden State Warriors","1/8/17",2016,2,8,42,"shot_yes","Jump Shot","2PT Field Goal",17,"Sacramento Kings",76,154,"Kevin Durant"
"1475","Golden State Warriors","1/8/17",2016,2,8,8,"shot_no","Jump Shot","3PT Field Goal",25,"Sacramento Kings",51,247,"Kevin Durant"
"1476","Golden State Warriors","2/27/17",2016,2,3,2,"shot_no","Jump Shot","3PT Field Goal",27,"Philadelphia 76ers",-214,178,"Kevin Durant"
"1477","Golden State Warriors","12/8/16",2016,4,11,9,"shot_no","Jump Shot","2PT Field Goal",14,"Utah Jazz",-65,134,"Kevin Durant"
"1478","Golden State Warriors","12/8/16",2016,3,10,51,"shot_no","Jump Shot","3PT Field Goal",26,"Utah Jazz",-135,232,"Kevin Durant"
"1479","Golden State Warriors","1/28/17",2016,1,7,5,"shot_yes","Jump Shot","3PT Field Goal",25,"Los Angeles Clippers",-124,223,"Kevin Durant"
"1480","Golden State Warriors","1/20/17",2016,1,5,13,"shot_no","Jump Shot","3PT Field Goal",25,"Houston Rockets",-6,252,"Kevin Durant"
"1481","Golden State Warriors","1/20/17",2016,3,3,31,"shot_no","Jump Shot","3PT Field Goal",25,"Houston Rockets",4,252,"Kevin Durant"
"1482","Golden State Warriors","12/20/16",2016,3,11,20,"shot_yes","Jump Shot","2PT Field Goal",4,"Utah Jazz",-37,26,"Kevin Durant"
"1483","Golden State Warriors","2/27/17",2016,3,7,20,"shot_no","Jump Shot","2PT Field Goal",16,"Philadelphia 76ers",-6,160,"Kevin Durant"
"1484","Golden State Warriors","2/27/17",2016,2,0,39,"shot_no","Jump Shot","3PT Field Goal",25,"Philadelphia 76ers",53,247,"Kevin Durant"
"1485","Golden State Warriors","2/8/17",2016,1,6,3,"shot_no","Jump Shot","2PT Field Goal",16,"Chicago Bulls",-124,110,"Kevin Durant"
"1486","Golden State Warriors","2/8/17",2016,3,1,12,"shot_yes","Jump Shot","3PT Field Goal",26,"Chicago Bulls",-34,262,"Kevin Durant"
"1487","Golden State Warriors","2/8/17",2016,2,0,27,"shot_no","Jump Shot","3PT Field Goal",28,"Chicago Bulls",-9,282,"Kevin Durant"
"1488","Golden State Warriors","2/8/17",2016,1,7,21,"shot_no","Jump Shot","2PT Field Goal",18,"Chicago Bulls",145,120,"Kevin Durant"
"1489","Golden State Warriors","1/2/17",2016,1,11,43,"shot_no","Jump Shot","2PT Field Goal",16,"Denver Nuggets",9,165,"Kevin Durant"
"1490","Golden State Warriors","11/3/16",2016,1,3,9,"shot_no","Jump Shot","2PT Field Goal",13,"Oklahoma City Thunder",128,28,"Kevin Durant"
"1491","Golden State Warriors","11/3/16",2016,3,0,34,"shot_no","Jump Shot","2PT Field Goal",11,"Oklahoma City Thunder",58,95,"Kevin Durant"
"1492","Golden State Warriors","11/3/16",2016,2,3,29,"shot_no","Jump Shot","3PT Field Goal",31,"Oklahoma City Thunder",-174,262,"Kevin Durant"
"1493","Golden State Warriors","11/3/16",2016,2,2,55,"shot_no","Jump Shot","2PT Field Goal",6,"Oklahoma City Thunder",-27,62,"Kevin Durant"
"1494","Golden State Warriors","11/3/16",2016,2,0,2,"shot_no","Jump Shot","3PT Field Goal",26,"Oklahoma City Thunder",192,178,"Kevin Durant"
"1495","Golden State Warriors","11/3/16",2016,4,11,19,"shot_no","Jump Shot","3PT Field Goal",26,"Oklahoma City Thunder",-217,149,"Kevin Durant"
"1496","Golden State Warriors","11/3/16",2016,2,10,49,"shot_yes","Jump Shot","3PT Field Goal",26,"Oklahoma City Thunder",-196,174,"Kevin Durant"
"1497","Golden State Warriors","12/20/16",2016,1,11,34,"shot_no","Jump Shot","2PT Field Goal",14,"Utah Jazz",71,131,"Kevin Durant"
"1498","Golden State Warriors","12/20/16",2016,1,8,49,"shot_no","Jump Shot","3PT Field Goal",26,"Utah Jazz",6,262,"Kevin Durant"
"1499","Golden State Warriors","11/16/16",2016,2,2,6,"shot_no","Jump Shot","3PT Field Goal",26,"Toronto Raptors",-68,254,"Kevin Durant"
"1500","Golden State Warriors","11/16/16",2016,3,2,53,"shot_no","Jump Shot","3PT Field Goal",26,"Toronto Raptors",12,262,"Kevin Durant"
"1501","Golden State Warriors","11/16/16",2016,2,8,51,"shot_yes","Jump Shot","3PT Field Goal",23,"Toronto Raptors",-184,154,"Kevin Durant"
"1502","Golden State Warriors","11/16/16",2016,2,2,52,"shot_yes","Jump Shot","3PT Field Goal",26,"Toronto Raptors",-168,210,"Kevin Durant"
"1503","Golden State Warriors","11/21/16",2016,1,0,4,"shot_no","Jump Shot","3PT Field Goal",25,"Indiana Pacers",212,144,"Kevin Durant"
"1504","Golden State Warriors","1/20/17",2016,4,6,57,"shot_no","Jump Shot","3PT Field Goal",29,"Houston Rockets",156,247,"Kevin Durant"
"1505","Golden State Warriors","1/20/17",2016,2,4,28,"shot_no","Jump Shot","2PT Field Goal",6,"Houston Rockets",12,67,"Kevin Durant"
"1506","Golden State Warriors","1/20/17",2016,2,4,4,"shot_yes","Jump Shot","3PT Field Goal",24,"Houston Rockets",177,174,"Kevin Durant"
"1507","Golden State Warriors","1/20/17",2016,4,3,40,"shot_yes","Jump Shot","2PT Field Goal",20,"Houston Rockets",-168,120,"Kevin Durant"
"1508","Golden State Warriors","1/20/17",2016,2,1,9,"shot_no","Jump Shot","2PT Field Goal",17,"Houston Rockets",117,131,"Kevin Durant"
"1509","Golden State Warriors","1/20/17",2016,1,2,35,"shot_yes","Jump Shot","3PT Field Goal",25,"Houston Rockets",89,242,"Kevin Durant"
"1510","Golden State Warriors","1/20/17",2016,3,5,30,"shot_no","Jump Shot","3PT Field Goal",26,"Houston Rockets",171,208,"Kevin Durant"
"1511","Golden State Warriors","1/28/17",2016,1,4,54,"shot_no","Jump Shot","3PT Field Goal",22,"Los Angeles Clippers",223,41,"Kevin Durant"
"1512","Golden State Warriors","1/2/17",2016,3,3,47,"shot_no","Jump Shot","3PT Field Goal",26,"Denver Nuggets",218,156,"Kevin Durant"
"1513","Golden State Warriors","1/2/17",2016,4,3,13,"shot_no","Jump Shot","3PT Field Goal",26,"Denver Nuggets",9,264,"Kevin Durant"
"1514","Golden State Warriors","1/2/17",2016,2,9,51,"shot_no","Jump Shot","2PT Field Goal",3,"Denver Nuggets",25,21,"Kevin Durant"
"1515","Golden State Warriors","1/2/17",2016,2,8,9,"shot_no","Jump Shot","2PT Field Goal",18,"Denver Nuggets",145,115,"Kevin Durant"
"1516","Golden State Warriors","1/28/17",2016,2,1,3,"shot_yes","Jump Shot","3PT Field Goal",25,"Los Angeles Clippers",158,205,"Kevin Durant"
"1517","Golden State Warriors","1/28/17",2016,2,5,14,"shot_no","Jump Shot","2PT Field Goal",18,"Los Angeles Clippers",56,175,"Kevin Durant"
"1518","Golden State Warriors","1/28/17",2016,3,6,21,"shot_yes","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",146,223,"Kevin Durant"
